1061,NE,Female,Jacket,28,32,32,28,32,32,25,27,29,2015,NE 1061,,,,,,
1062,NE,Female,Jacket,29,33,33,29,33,33,22,24,26,2015,NE 1062,,,,,,
1063,NE,Female,Jacket,25,29,29,25,29,29,25,27,29,2015,NE 1063,,,,,,
1064,NE,Female,Jacket,23,27,27,23,27,27,10,12,14,2015,NE 1064,,,,,,
1065,NE,Female,Jacket,27,31,31,27,31,31,22,24,26,2015,NE 1065,,,,,,
1066,NE,Female,Jacket,26,30,30,26,30,30,24,26,28,2015,NE 1066,,,,,,
1067,NE,Female,Jacket,23,27,27,23,27,27,22,24,26,2015,NE 1067,,,,,,
1068,NE,Female,Jacket,25,29,29,25,29,29,21,23,25,2015,NE 1068,,,,,,
1069,NE,Female,Jacket,24,28,28,24,28,28,25,27,29,2015,NE 1069,,,,,,
1070,NE,Female,Jacket,24,28,28,24,28,28,28,30,32,2015,NE 1070,,,,,,
1071,NE,Female,Jacket,30,34,34,30,34,34,25,27,29,2015,NE 1071,,,,,,
1072,NE,Female,Jacket,29,33,33,29,33,33,22,24,26,2015,NE 1072,,,,,,
1073,NE,Female,Jacket,46,50,50,46,50,50,13,15,17,2015,NE 1073,,,,,,
1074,NE,Female,Jacket,30,34,34,30,34,34,15,17,19,2015,NE 1074,,,,,,
1075,NE,Female,Jacket,28,32,32,28,32,32,19,21,23,2015,NE 1075,,,,,,
1076,NE,Female,Jacket,29,33,33,29,33,33,21,23,25,2015,NE 1076,,,,,,
1077,NE,Female,Jacket,33,37,37,33,37,37,22,24,26,2015,NE 1077,,,,,,
1078,NE,Female,Jacket,28,32,32,28,32,32,22,24,26,2015,NE 1078,,,,,,
1079,NE,Female,Jacket,24,28,28,24,28,28,21,23,25,2015,NE 1079,,,,,,
1080,NE,Female,Jacket,26,30,30,26,30,30,18,20,22,2015,NE 1080,,,,,,
1081,NE,Female,Jacket,37,41,41,37,41,41,26,28,30,2015,NE 1081,,,,,,
1082,NE,Female,Jacket,29,33,33,29,33,33,30,32,34,2015,NE 1082,,,,,,
1083,NE,Female,Long Jacket,28,32,32,28,32,32,50,54,59,2015,NE 1083,,,,,,
1084,NE,Female,Long Jacket,44,48,48,55,59,59,39,43,48,2015,NE 1084,,,,,,
1085,NE,Female,Long Jacket,25,29,29,32,36,36,39,43,48,2015,NE 1085,,,,,,
1086,NE,Female,Long Jacket,47,51,51,47,51,51,39,43,48,2015,NE 1086,,,,,,
1087,NE,Female,Long Jacket,37,41,41,41,45,45,37,41,46,2015,NE 1087,,,,,,
1088,NE,Female,Long Jacket,34,38,38,34,38,38,41,45,50,2015,NE 1088,,,,,,
1089,NE,Female,Long Jacket,34,38,38,34,38,38,38,42,47,2015,NE 1089,,,,,,
1090,NE,Female,Long Jacket,39,43,43,43,47,47,37,41,46,2015,NE 1090,,,,,,
1091,NE,Female,Long Jacket,62,66,66,62,66,66,37,41,46,2015,NE 1091,,,,,,
1092,NE,Female,Long Jacket,39,43,43,51,55,55,39,43,48,2015,NE 1092,,,,,,
1093,NE,Female,Long Jacket,50,54,54,65,69,69,41,45,50,2015,NE 1093,,,,,,
1094,NE,Female,Long Jacket,32,36,36,42,46,46,39,43,48,2015,NE 1094,,,,,,
1095,NE,Female,Long Jacket,30,34,34,35,39,39,38,42,47,2015,NE 1095,,,,,,
1096,NE,Female,Long Jacket,51,55,55,65,69,69,39,43,48,2015,NE 1096,,,,,,
1097,NE,Female,Long Jacket,60,64,64,60,64,64,38,42,47,2015,NE 1097,,,,,,
1098,NE,Female,Long Jacket,48,52,52,48,52,52,35,39,44,2015,NE 1098,,,,,,
1099,NE,Female,Long Jacket,36,40,40,46,50,50,38,42,47,2015,NE 1099,,,,,,
1100,NE,Male,Vest,21,25,25,21,25,25,11,11,15,2015,NE 1100,,,,,,
1101,NE,Male,Vest,31,35,35,31,35,35,18,18,22,2015,NE 1101,,,,,,
1102,NE,Male,Vest,23,27,27,23,27,27,17,17,21,2015,NE 1102,,,,,,
1103,NE,Male,Vest,21,25,25,21,25,25,12,12,16,2015,NE 1103,,,,,,
1104,NE,Male,Vest,17,21,21,17,21,21,13,13,17,2015,NE 1104,,,,,,
1105,NE,Male,Vest,25,29,29,25,29,29,16,16,20,2015,NE 1105,,,,,,
1106,NE,Male,Vest,15,19,19,15,19,19,9,9,13,2015,NE 1106,,,,,,
1107,NE,Male,Vest,18,22,22,18,22,22,11,11,15,2015,NE 1107,,,,,,
1108,NE,Male,Vest,50,54,54,50,54,54,23,23,27,2015,NE 1108,,,,,,
1109,NE,Male,Vest,34,38,38,34,38,38,19,19,23,2015,NE 1109,,,,,,
1110,NE,Male,Vest,35,39,39,35,39,39,27,27,31,2015,NE 1110,,,,,,
1111,NE,Male,Vest,30,34,34,30,34,34,19,19,23,2015,NE 1111,,,,,,
1112,NE,Male,Vest,48,52,52,48,52,52,27,27,31,2015,NE 1112,,,,,,
